KF utilisée  pr S&OP?;Domaine fonctionnel;type de KF;Priorité;"Statut Configuration (TWM)
Open / WIP / On Hold / Done";Mode alimentation;Commentaire;ID;Name;To be rename;Description;Detailed explanation of the KF (EN);Explication detaillée de la KF (FR);Base Planning Level;stored or calculated;Stored Key Figure;Calculated Key Figure;type de chargement;Source de la donnée;Editable Y/N;règle;commentaires;KF snapshoté?;Count
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPACCDRFCSTABSPCT;Fiabilité Prévision DR %;DR Fcst ACC. %;indicateur de fiabilité de la Prévision Demand Review en %;Calulcates the accuracy of the Demand Review Forecast versus ordered qty history by using ABS gap. The closer to 100%, the better;calcul de la fiabilité de la prévision Demand Review en la comparant à l'historique des qtés commandées en utilisant l'ABS gap. Plus on se rapproche de 100%, plus c'est juste;MTHFAM2PLTSALESAREALAG;calculated;;X;;;Not editable;1-(ABS(Prevision Demand Review - histo comamndé) / prevision Demand Review;niveau de calcul d'écart à définir : Mois - Famille PLT 2 - Lag - Large Sales Area;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPBIASDRFCSTPCT;Biais Prévision DR %;DR Fcst BIAS %;indicateur de fiabilité de la Prévision Demand Review en %;"Calulcates the bias of the Demand Review Forecast versus ordered qty history by using BIAS gap. The closer to 0%, the better.
If above 0%, the DR is too optimistic.
If under 0%, the DR is too pessimistic";"calcul du biais de la prévision Demand Review en la comparant à l'historique des qtés commandées en utilisant le BIAS gap. Plus on se rapproche de 0%, plus c'est juste.
Si supérieur à 0%, la DR est trop optimiste
Si inférieur à 0%, la DR est trop pessimiste";WKPRODCUST;calculated;;X;;;Not editable;(Prevision Demand Review - histo commandé) / prevision demand Review;at request;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPBIASDRFCST;Biais Prévision DR (ecart relatif);DR Fcst BIAS gap;indicateur de fiabilité de la Prévision Demand Review en écart relatif;Gap in relative qty between the Demand Review Forecast and the Historical Ordered Quantities;C'est la différence en écart relatif entre la Prévision Demand Review et l'historique des quantités commandées.;WKPRODCUST;calculated;;X;;;Not editable;Prevision Demand Review - histo commandé;at request;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPDEMANDREVIEWFCSTINPREP;Prévision Demand Review In Prep;DR Fcst In-Prep;prévision intermediaire issue du cycle de Pre DR;Output of the Pre-Demand Review Process that will be used as input for the Demand Review process. This key figure will be no more editable for the rest of the running S&OP cycle once Pre-DR is completed;Résultat du processus de Pré-Demand Review qui servira de donnée d'entrée pour le processus de Demand Review. Cette Key Figure ne sera plus editable en cours de cycle une fois la réunion de Pré-DR terminée et validée.;WKPRODCUST;calculated;;X;;;Editable;"= Total Forecast + Risq&Ops (Proba forte)
Si il ya une Prev Demand Review forcée Qté alors = Prevision Demand review forcée Qté
Si il y a une Prev Demand review forcée % alors = Prevision Demand Review In Prep x (1 + Prevision demand forcée %)";stockée au niveau WEEKPRODCUST;;1
KF à créer pour S&OP;Demand Review;unique S&OP;4;Open;;;ZSOPDRINPREPVSTOTALFCST;Demand Review Forecast in Prep  vs. Prévision opérationnelle Qté;DR Fcst In-Prep vs Fcst MTC;comparer les prévisions Demand Review In Prep avec les prévisions opérationnelles Qté;It calculates the difference between Demand review In-prep Forecast  and forecast months to come, in value and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review In-prep et la prévision à venir, en valeur à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;TOTALFORECAST - Prev Demand Review in prep;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;4;Open;;;ZSOPDRINPREPVSTOTALFCSTPCT;Demand Review Forecast in Prep vs. Prévision opérationnelle %;DR Fcst In-Prep vs Fcst MTC %;comparer les prévisions Demand Review In Prep avec les prévisions opérationnelles %;It calculates the difference between Demand review In-prep Forecast  and forecast months to come, in % and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review In-prep et la prévision à venir, en % à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;(TOTALFORECAST - Prev Demand Review In prep) / TOTALFORECAST;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;4;Open;;;ZSOPDRINPREPVSCOMBUDGET;compare Demand review  Forecast In Prep et Budget commercial Qty;DR Fcst In-Prep vs Sales Bud.;;It calculates the difference between Demand review In-prep Forecast  and Sales Budget, in value and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review In-prep et le budget commercial, en valeur à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;Prevision Demand review In Prep - Budget commercial;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;4;Open;;;ZSOPDRINPREPVSCOMBUDGETPCT;compare Demand review  Forecast In Prep et Budget commercial %;DR Fcst In-Prep vs Sales Bud. %;;It calculates the difference between Demand review In-prep Forecast  and Sales Budget, in % and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review In-prep et le budget commercial, en % à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;Prevision Demand review In Prep / Budget commercial;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPDRFCSTVSTOTALFCSTPCT;Prévision Demand Review vs. Prévision opérationnelle %;DR Fcst vs Fcst MTC %;comparer les prévisions Demand Review avec les prévisions opérationnelles %;It calculates the difference between Demand review Forecast  and the Forecast months to come, in % and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review et la prévision des mois à venir, en % à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;(TOTALFORECAST - Prev Deamnd Review) / TOTALFORECAST;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPDRFCSTVSTOTALFCST;Prévision Demand Review vs. Prévision opérationnelle Qté;DR Fcst vs Fcst MTC Qty;comparer les prévisions Demand Review avec les prévisions opérationnelles Qté;It calculates the difference between Demand review Forecast  and the Forecast months to come, in value and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review et la prévision des mois à venir, en valeur à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;TOTALFORECAST - Prev Deamnd Review;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPDRFCSTVSCOMBUDGETPCT;compare prévisions Demand review  et Budget commercial %;DR Fcst vs Sales Bud. %;;It calculates the difference between Demand review Forecast  and Sales Budget, in % and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review et le budget commercial, en % à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;Prevision Demand review / Budget commercial;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPDRFCSTVSCOMBUDGET;compare prévisions Demand review  et Budget commercial Qty;DR Fcst vs Sales Bud. Qty;;It calculates the difference between Demand review Forecast  and Sales Budget, in value and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision Demand review et le budget commercial, en valeur à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;Prevision Demand review - Budget commercial;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPTOTALFCSTVSCOMBUDGETPCT;compare prévisions opérationnelles et Budget commercial %;Fcst MTC vs Sales Bud. %;;It calculates the difference between Forecast months to come issued from IBP and the Sales Budget, in % and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision opérationnelle issue d'IBP et le budget commercial, en % à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;Prevision opérationnelle IBP (TotalForecast) / Budget commercial;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPTOTALFCSTVSCOMBUDGET;compare prévisions opérationnelles et Budget commercial Qty;Fcst MTC vs Sales Bud. Qty;S&OP: operational forecast / operating plan qty. ;It calculates the difference between Forecast months to come issued from IBP and the Sales Budget, in value and for each month at the level consulted;Calcul de l'écart relatif entre la Prévision opérationnelle issue d'IBP et le budget commercial, en valeur à maille mensuelle et au niveau de consultation;WKPRODCUST;calculated;;X;;;Not editable;Prevision opérationnelle IBP (TotalForecast) - Budget commercial;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZADJFORECASTQTY;Total Forecast;Fcst MTC_S;Total Forecast;Total Forecast for the months to come. This is the result of baseline forecast + promotional activity / listings;Prévision totale sur les mois à venir. C'est la somme des prévisions de fon de rayon + activité promotionnelle/ référencements;WKPRODCUST;calculated;;X;;;;;Possibilité de renommer cette KF dans la version S&OP?;;1
KF à créer pour S&OP;Demand Review;;1;Done;;S&OP version;ZSOPTOTALFORECAST;Total Forecast;Fcst MTC_S;Total Forecast;Total Forecast for the months to come. This is the result of baseline forecast + promotional activity / listings;Prévision totale sur les mois à venir. C'est la somme des prévisions de fon de rayon + activité promotionnelle/ référencements;WKPRODCUST;calculated;;X;;;Not editable;; Used to display KF Total Forecacts (ZADJFORECASTQTY) in the S&OP Version;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPGORWTHPCTVSN1;% croissance vs N-1;Growth % vs Y-1;current year consensus / historique facturé ou livré N-1;calculation of growth % vs N-1 by comparing Consensus current Year and Delivered Quantity of Year -1;calcul du taux de croissance en % vs N-1 en comparant le Consensus de l'année en cours par rapport aux quantités livrées de l'année N-1.;WKPRODLOC;calculated;;X;;;Not editable;current year  consensus/ historique livré N-1;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPHIGHRISKANDOPP;Opportunité fortes et risques forts agrégés Qté;High Risks-Opps;;"It's the sum of High Risks and High Opportunities. Only the High risks and Opps will be used in addition of the forecast months to come to calculate Demand Review Forecast.
Risks are being treated as negative values for the calculation";"C'est la somme des risques et opportunités élevés. Seuls les risques et opportuntiés élevés sont additionnés à la prévision opérationnelle pour calculer la prévision Demand Review.
Les risques sont considérés comme négatifs dans la formule.";WKPRODCUST;calculated;;X;;;Not editable; opportunité fortes -  risque forts;rsiques seront saisis en positif. A considérer en négatif pour le calcul de la KF;;1
KF à créer pour S&OP;Demand Review;unique S&OP;2;Done;;;ZSOPHIGHRISKANDOPPVSCONSENSUSCY;% R&O vs. Current year;High Risks-Opps vs landing Cons. fcst %;indicateur du pourcentage de Risk & Ops par rapport au consolidé N (current year);Relative to the current year, it is the ratio between High Risk and Opps quantity and the Consensus quantity.;"Sur l'année en cours, il s'agit du ratio entre les Risks and Opps ""forts"" et le Consensus.";WKPRODCUST;calculated;;X;;;Not editable;R&O agrégés fort / current year consensus;il faudra une désag du consenssu jusqu'à la dimension client;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPDEMANDREVIEWCY;Current Year Demand Review;Landing DR Fcst;curent year = Qté histo facturée (ou livrée?) sur mois passé  + Prév DR sur mois futurs;To be used only on the fix 12 month horizon. For the current year, it is the consolidated volume with the Delivered Quanity for the past months and the Demand review Forecast for the future. For the currrent months, on prend le DR Fcst du mois M-1;A utiliser uniquement sur l'horizon fixe de 12 mois. Pour l'année en cours, il s'agit des volumes consolidés entre les volumes livrés pour les mois passés et les prévisions Demand Review sur les mois à venir. Pour le mois en cours, c'est la DR Fcst du mois M-1;WKPRODCUST;calculated;;X;;;Not editable;curent year = Qté histo facturée (ou livrée?) sur mois passé  + Prév DR sur mois futurs;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;4;Open;;;ZSOPDEMANDREVIEWINPREPCY;Current Year Demand Review In Prep;Landing DR Fcst In-Prep;curent year = Qté histo livrée sur mois passé  + Prév DR In Prep sur mois futurs;To be used only on the fix 12 month horizon. For the current year, it is the consolidated volume with the Delivered Quanity for the past months and the Demand review In-prep Forecast for the future. For the currrent months, on prend le DR Fcst du mois M-1;A utiliser uniquement sur l'horizon fixe de 12 mois. Pour l'année en cours, il s'agit des volumes consolidés entre les volumes livrés pour les mois passés et les prévisions Demand Review In-prep sur les mois à venir. Pour le mois en cours, c'est la DR Fcst du mois M-1;WKPRODCUST;calculated;;X;;;Not editable;curent year = Qté histo livrée sur mois passé  + Prév DR In Prep sur mois futurs;;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPOPPHIGHQTY;Opportunités quantités fort;Opp - High Qty;S&OP: opportunities quantity;Volumes of Opportunities interfaced from Salesforce and flagged with high probability level of closing;Volumes d'opportunités interfacés depuis Salesforce et taggés avec un niveau de probabilité élevée;WKPRODCUST;stored;X;;interface;Salesforce;Editable;désagregation: Sur la base de TotalForecast;Saisie manuelle dans un premier temps, puis interfaçage (niveau PLT enseigne, voire produit/enseigne);;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPOPPLOWQTY;Opportunités quantités faible;Opp - Low Qty;S&OP: opportunities quantity;Volumes of Opportunities interfaced from Salesforce and flagged with low probability level of closing;Volumes d'opportunités interfacés depuis Salesforce et taggés avec un niveau de probabilité faible;WKPRODCUST;stored;X;;interface;Salesforce;Editable;désagregation: Sur la base de TotalForecast;Saisie manuelle dans un premier temps, puis interfaçage (niveau PLT enseigne, voire produit/enseigne);;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPOPPMEDIUMQTY;Opportunités quantités moyen;Opp - mid Qty;S&OP: opportunities quantity;Volumes of Opportunities interfaced from Salesforce and flagged with medium probability level of closing;Volumes d'opportunités interfacés depuis Salesforce et taggés avec un niveau de probabilité moyen;WKPRODCUST;stored;X;;interface;Salesforce;Editable;désagregation: Sur la base de TotalForecast;Saisie manuelle dans un premier temps, puis interfaçage (niveau PLT enseigne, voire produit/enseigne);;1
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPHISTOSALQTY;Ordered Quantities History - Lag;Ordered Qty - Snapshot;;Key figure used to snapshot the ordered quantity history;;WKPRODCUSTLAG;calculated;;;;;Not editable;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;;ZSOPZHISTOSALQTY;Ordered Quantities History;Ordered Qty N_S;Ordered Quantities History;Volume actually ordered to our customer in current year;historique quantités commandées sur l'année en cours;WKPRODCUST;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZHISTOSALQTY1YEAROFFSET;Histo. des quantités commandées N-1;Ordered Qty N-1;Historique des quantités commandées N-1;Volume actually ordered to our customer in year-1;historique quantités commandées sur l'année N-1;WKPRODCUST;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZHISTOSALQTY2YEAROFFSET;Histo. des quantités commandées N-2;Ordered Qty N-2;Historique des quantités commandées N-2;Volume actually ordered to our customer in year-2;historique quantités commandées sur l'année N-2;WKPRODCUST;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;;ZSOPDISAGGFACTOR;Disaggregation Factor;pas besoin en affichage;Demand Planning Input: Used to disaggregate STATISTICALFORECASTQTY. The key figure is calculated as a simple average by forecast model CalculateDisaggregationFactor.;;;WKPRODLOCCUST;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZADJACTUALSQTY;Histo des quantités livrées - corrigé;pas besoin en affichage;Histo des quantités livrées - corrigé;;;CALWKPRODCUST;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZADJSALQTY;Corrected Ordered Quantities History;pas besoin en affichage;Corrected Ordered Quantities History;;;WKPRODCUST;calculated;;X;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZEVTEXPTOTALQTY;Quantity EE - Total;pas besoin en affichage;Quantity EE - Total;;;WKPRODCUST;calculated;;X;;;;;;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;S&OP version;ZFORECASTOPENORDERSQTY;Open Order Quantity - for Forecasting & Forecast Consumption;pas besoin en affichage;Open Order Quantity - for Forecasting & Forecast Consumption;;;WKPRODLOCCUST;calculated;;X;;;;"sur la semaine en cours: 
passé = historique livré/facturé
futur = carnet de commandes ouvertes
semaine future: Max (Prévision; carnet de commandes ouvertes)";A voir si besoin de créer une autre KF?;;1
KF existante à reprendre pour S&OP;Demand review;partagée;1;Done;;;ZREALPROMOUPLIFT;Opérations promotionnelles - Quantités Réalisées;pas besoin en affichage;Quantités réalisées pour les opé. promo.;;;CALWKPROMOPRODZENS;;X;X;;;;;;;1
KF à créer pour S&OP;Demand review;partagée;;;;;ZSOPZPROMOUPLIFT;Promotional operations_S;pas besoin en affichage;;;S&OP : Opérations promotionnelles - Appli.;WKPRODCUST;;;;;;;; Used to display KF in the S&OP Version;;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPRISKHIGHQTY;Risques Quantités fort;Risk - High Qty;S&OP: risks quantity;Volumes of risks interfaced from Salesforce and flagged with high probability level of closing;Volumes de risques interfacés depuis Salesforce et taggés avec un niveau de probabilité élevée;WKPRODCUST;stored;X;;interface;Saleforce;Editable;désagregation: Sur la base de TotalForecast;Saisie manuelle dans un premier temps, puis interfaçage (niveau PLT enseigne, voire produit/enseigne);;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPRISKLOWQTY;Risques Quantités faible;Risk - Low Qty;S&OP: risks quantity;Volumes of risks interfaced from Salesforce and flagged with low probability level of closing;Volumes de risques interfacés depuis Salesforce et taggés avec un niveau de probabilité faible;WKPRODCUST;stored;X;;interface;Saleforce;Editable;désagregation: Sur la base de TotalForecast;Saisie manuelle dans un premier temps, puis interfaçage (niveau PLT enseigne, voire produit/enseigne);;1
KF à créer pour S&OP;Demand Review;unique S&OP;1;Done;;;ZSOPRISKMEDIUMQTY;Risques Quantités moyen;Risk - mid Qty;S&OP: risks quantity;Volumes of risks interfaced from Salesforce and flagged with medium probability level of closing;Volumes de risques interfacés depuis Salesforce et taggés avec un niveau de probabilité moyen;WKPRODCUST;stored;X;;interface;Saleforce;Editable;désagregation: Sur la base de TotalForecast;Saisie manuelle dans un premier temps, puis interfaçage (niveau PLT enseigne, voire produit/enseigne);;1
KF à créer pour S&OP;Demand Review;unique S&OP;;;;;ZSOPSALESVOLUMEPERDAY;ventes en tonne / jour ouvré;Sales volume /work.day;;KPI to bring sales volume (in the past or the future) down to working day of the month;KPI qui permet de ramener un volume de vente mensuel (dans le passé ou le futur) à la maille jour/ouvré;WKPRODCUST;calculated;;;;;Not editable;"cette KF doit ramener le volume vendu sur le mois au jour ouvré (si volume total vendu = 22 000t et que 20 jours ouvrés dans le mois, alors on doit voir 1 100t/jour). Dans le passé, on se basera sur la KF ""ZSOPHISTOACTQTY"" et dans le futur, ce sera la KF DR Fcst";utilisation du calendrier IBP pour le nb de jours ouvrés;;
KF à créer pour S&OP;Demand Review;partagée;1;Done ;;KF existante;ZSOPOPENORDERSQTYFIRSTREQDATE;Qté demandée en date de livraison souhaitée;Total Open order Qty 1st Date_S;;volume of current open orders based on the initial expected delivery date from the customer;volume du carnet de commande sur la base de la date de livraison souhaitée initiale du client;;stored;X;;;;Not editable;;KF qui pourra être alimentée suite projet R&S;;1
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPZRSOPENORDERSQTYFIRSTREQDATE;S&OP : Total Open order 1st Date;Total Open Order Qty 1st Date_S;;Key figure that is used to display all orders volumes on the initial requested date from the customer;Key figure qui permet d'afficher la somme des commandes en première date de livraison souhaitée par le client;WKPRODLOCCUST;;;;;;;; Used to display KF in the S&OP Version;;1
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPPASTOPENORDERSQTY;S&OP : Backlog - Total Open Order - MTO;Total Open Order Qty Backlog_S;;Key figure that is used to sum that volumes of orders of which the initial requested date is in the past. Only valid for MTO items;Key figure qui est utilisée pour faire la somme des commandes avec date de début initial dans le passé. Uniquemnet valide pour les commandes MTO;WKPRODLOCCUST;;;;;;;; Used to display KF in the S&OP Version;;1
KF existante à reprendre pour S&OP;Demand Review;partagée;1;Done;;;ZSOPOPENORDERSQTY;Total Open Order Qty;Total Open Order Qty_S;Total Open Order Qty;volume of current open orders based on the current delivery date (includes delay of orders);volume du carnet de commande sur la base de la date de livraison prévue (inclu le décalage de commande);WKPRODLOCCUST;stored and calculated;X;X;;;;;;;1
KF à créer pour S&OP;Demand Review;partagée;1;Done;;KF existante;;Forecast consumption current Month;;"Si MTS = Max (Prev vs Open order)
Si MTO = Open Order";;;;;;;;;;"livré sur le semaines passées
forecast consumption ""classique""";;;1
KF à créer pour S&OP;Demand Review;unique S&OP;;Done;;;ZSOPHISTOACTQTY;Delivered Quantities History - Lag;Delivered Quantities History - Lag;;Volume actually delivered to our customer in current year. This KF is to be used in combination with attribute LAG;Histo des quantités livrées sur l'année. Cette KF sera utilisée en combinaison avec l'attribut LAG;WKPRODCUSTLAG;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPDEMANDREVIEWFCSTLAGINPUT;Demand Review Forecast - Lag Input;Demand Review Forecast - Lag Input;;;;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPLANDINGDRFCSTVSSALESBUDGET;Landing DR Fcst vs Sales Bud;Landing DR Fcst vs Sales Bud;;To be used only on a fixed 12-month horizon. For the current year, it refers to the consolidated volumes between the volumes delivered for the past months and the Demand Review forecasts for the coming months, all compared to the sales budget;A utiliser uniquement sur l'horizon fixe de 12 mois. Pour l'année en cours, il s'agit des volumes consolidés entre les volumes livrés pour les mois passés et les prévisions Demand Review sur les mois à venir, le tout comparé au budget commercial. ;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPLANDINGDRFCSTVSSALESBUDGETPC;Landing DR Fcst vs Sales Bud %;Landing DR Fcst vs Sales Bud %;;To be used only on a fixed 12-month horizon. For the current year, it refers to the consolidated volumes between the volumes delivered for the past months and the Demand Review forecasts for the coming months, all compared to the sales budget and expressed as a percentage.;A utiliser uniquement sur l'horizon fixe de 12 mois. Pour l'année en cours, il s'agit des volumes consolidés entre les volumes livrés pour les mois passés et les prévisions Demand Review sur les mois à venir, le tout comparé au budget commercial et exprimé en pourcentage;WKPRODCUST;calculated;;X;;;;;;;
